k_wp,k3,w,fen,engine_name,cai_score
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1Bb2/PP3PPP/R2QKB1R w KQkq - 0 10,stockfish_elo_1950,0.14625885048827872
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1Bb2/PP3PPP/R2QKB1R w KQkq - 0 10,stockfish_elo_2007,0.14625885048827872
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1Bb2/PP3PPP/R2QKB1R w KQkq - 0 10,stockfish_elo_2050,0.14625885048827872
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1Bb2/PP3PPP/R2QKB1R w KQkq - 0 10,stockfish_full_1,0.14625885048827872
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,maia_1100,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,maia_1200,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,maia_1300,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,maia_1400,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,maia_1500,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,maia_1600,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,maia_1700,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,maia_1800,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,maia_1900,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,stockfish_elo_1320,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,stockfish_elo_1450,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,stockfish_elo_1550,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,stockfish_elo_1650,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,stockfish_elo_1750,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,stockfish_elo_1850,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,stockfish_elo_1950,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,stockfish_elo_2007,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,stockfish_elo_2050,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1nnp2p1/3P4/2P5/2N1BP2/PP3P1P/R2QKB1R b KQkq - 0 10,stockfish_full_1,-0.36124602609050754
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,maia_1100,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,maia_1200,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,maia_1300,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,maia_1400,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,maia_1500,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,maia_1600,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,maia_1700,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,maia_1800,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,maia_1900,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,stockfish_elo_1320,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,stockfish_elo_1450,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,stockfish_elo_1550,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,stockfish_elo_1650,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,stockfish_elo_1750,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,stockfish_elo_1850,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,stockfish_elo_1950,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,stockfish_elo_2007,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,stockfish_elo_2050,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P5/2N1BP2/PP3P1P/R2QKB1R w KQkq - 1 11,stockfish_full_1,0.28381519523475823
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,maia_1100,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,maia_1200,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,maia_1300,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,maia_1400,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,maia_1500,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,maia_1600,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,maia_1700,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,maia_1800,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,maia_1900,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,stockfish_elo_1320,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,stockfish_elo_1450,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,stockfish_elo_1550,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,stockfish_elo_1650,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,stockfish_elo_1750,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,stockfish_elo_1850,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,stockfish_elo_1950,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,stockfish_elo_2007,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,stockfish_elo_2050,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp2pp1p/1n1p2p1/3Pn3/2P2P2/2N1B3/PP3P1P/R2QKB1R b KQkq - 0 11,stockfish_full_1,0.48625305351508663
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,maia_1100,3.209768971935567
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,maia_1200,3.209768971935567
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,maia_1300,3.571987285845907
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,maia_1400,3.209768971935567
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,maia_1500,3.209768971935567
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,maia_1600,3.209768971935567
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,maia_1700,0.4222749042615703
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,maia_1800,0.4222749042615703
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,maia_1900,3.209768971935567
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,stockfish_elo_1320,0.4222749042615703
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,stockfish_elo_1450,0.4222749042615703
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,stockfish_elo_1550,0.4222749042615703
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,stockfish_elo_1650,0.4222749042615703
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,stockfish_elo_1750,0.4222749042615703
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,stockfish_elo_1850,0.4222749042615703
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,stockfish_elo_1950,0.4222749042615703
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,stockfish_elo_2007,0.4222749042615703
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,stockfish_elo_2050,0.4222749042615703
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2P2P2/2N1B3/PP3P1P/R2QKB1R w KQkq - 1 12,stockfish_full_1,0.4222749042615703
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,maia_1100,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,maia_1200,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,maia_1300,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,maia_1400,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,maia_1500,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,maia_1600,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,maia_1700,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,maia_1800,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,maia_1900,4.998172188251913
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,stockfish_elo_1320,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,stockfish_elo_1450,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,stockfish_elo_1550,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,stockfish_elo_1650,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,stockfish_elo_1750,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,stockfish_elo_1850,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,stockfish_elo_1950,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,stockfish_elo_2007,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,stockfish_elo_2050,0.7408504119264813
0.003,0.002,0.8,r2qkb1r/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R b KQkq - 2 12,stockfish_full_1,0.7408504119264813
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,maia_1100,3.1411705452041816
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,maia_1200,4.013016937382431
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,maia_1300,3.1411705452041816
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,maia_1400,4.013016937382431
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,maia_1500,3.9401435979956663
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,maia_1600,5.625469631561435
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,maia_1700,6.068049363120239
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,maia_1800,5.037162961144431
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,maia_1900,3.1411705452041816
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,stockfish_elo_1320,3.1411705452041816
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,stockfish_elo_1450,3.1411705452041816
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,stockfish_elo_1550,3.1411705452041816
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,stockfish_elo_1650,3.1411705452041816
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,stockfish_elo_1750,3.1411705452041816
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,stockfish_elo_1850,3.1411705452041816
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,stockfish_elo_1950,3.1411705452041816
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,stockfish_elo_2007,3.1411705452041816
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,stockfish_elo_2050,3.1411705452041816
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P2/2N5/PP3P1P/R2QKB1R w KQq - 3 13,stockfish_full_1,3.1411705452041816
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P1P/2N5/PP3P2/R2QKB1R b KQq - 0 13,maia_1100,0.7375499425704318
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P1P/2N5/PP3P2/R2QKB1R b KQq - 0 13,maia_1200,0.7375499425704318
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P1P/2N5/PP3P2/R2QKB1R b KQq - 0 13,maia_1300,0.7375499425704318
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P1P/2N5/PP3P2/R2QKB1R b KQq - 0 13,maia_1400,0.7375499425704318
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P1P/2N5/PP3P2/R2QKB1R b KQq - 0 13,maia_1500,0.7375499425704318
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P1P/2N5/PP3P2/R2QKB1R b KQq - 0 13,maia_1600,0.7375499425704318
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P1P/2N5/PP3P2/R2QKB1R b KQq - 0 13,maia_1700,0.7375499425704318
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P1P/2N5/PP3P2/R2QKB1R b KQq - 0 13,maia_1800,0.7375499425704318
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P1P/2N5/PP3P2/R2QKB1R b KQq - 0 13,stockfish_elo_1320,0.7375499425704318
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P1P/2N5/PP3P2/R2QKB1R b KQq - 0 13,maia_1900,0.7375499425704318
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P1P/2N5/PP3P2/R2QKB1R b KQq - 0 13,stockfish_elo_1450,0.7375499425704318
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P1P/2N5/PP3P2/R2QKB1R b KQq - 0 13,stockfish_elo_1550,0.7375499425704318
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P1P/2N5/PP3P2/R2QKB1R b KQq - 0 13,stockfish_elo_1650,0.7375499425704318
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P1P/2N5/PP3P2/R2QKB1R b KQq - 0 13,stockfish_elo_1750,0.7375499425704318
0.003,0.002,0.8,r2qkbr1/pp1npp1p/1n1p2p1/3P4/2PB1P1P/2N5/PP3P2/R2QKB1R b KQq - 0 13,stockfish_elo_1850,0.7375499425704318
